    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.20s
     Running unittests src\lib.rs (target\x86_64-pc-windows-msvc\debug\deps\tools_screensaver_tzk-e49d2c803fa47052.exe)

running 1 test
00-TimeDate-800x369-dpi96-p0-SevenSegment-palette.bmp: 4818 nonblack pixels; generation 1
01-TimeDate-800x369-dpi96-p1-SevenSegment-palette.bmp: 4818 nonblack pixels; generation 1
02-TimeDate-800x369-dpi96-p2-SevenSegment-palette.bmp: 4818 nonblack pixels; generation 1
03-TimeDate-800x369-dpi96-p3-SevenSegment-palette.bmp: 4818 nonblack pixels; generation 1
04-TimeDate-1920x1080-dpi96-p2-SevenSegment-size.bmp: 33861 nonblack pixels; generation 1
05-TimeDate-3840x2160-dpi144-p2-SevenSegment-size.bmp: 130608 nonblack pixels; generation 1
06-TimeDate-1080x1920-dpi192-p2-SevenSegment-size.bmp: 28344 nonblack pixels; generation 1
07-TimeDate-320x180-dpi144-p2-SevenSegment-size.bmp: 2231 nonblack pixels; generation 1
08-TimeDate-120x80-dpi288-p2-SevenSegment-size.bmp: 344 nonblack pixels; generation 1
09-TimeDate-800x369-dpi96-p2-Consolas-font.bmp: 4169 nonblack pixels; generation 1
10-TimeDate-800x369-dpi96-p2-MingLiu-font.bmp: 3448 nonblack pixels; generation 1
11-Countdown-800x369-dpi96-p0-SevenSegment-palette.bmp: 68041 nonblack pixels; generation 1
12-Countdown-800x369-dpi96-p1-SevenSegment-palette.bmp: 68041 nonblack pixels; generation 1
13-Countdown-800x369-dpi96-p2-SevenSegment-palette.bmp: 68041 nonblack pixels; generation 1
14-Countdown-800x369-dpi96-p3-SevenSegment-palette.bmp: 68041 nonblack pixels; generation 1
15-Countdown-1920x1080-dpi96-p2-SevenSegment-size.bmp: 415143 nonblack pixels; generation 1
16-Countdown-3840x2160-dpi144-p2-SevenSegment-size.bmp: 1665695 nonblack pixels; generation 1
17-Countdown-1080x1920-dpi192-p2-SevenSegment-size.bmp: 138908 nonblack pixels; generation 1
18-Countdown-320x180-dpi144-p2-SevenSegment-size.bmp: 21305 nonblack pixels; generation 1
19-Countdown-120x80-dpi288-p2-SevenSegment-size.bmp: 2884 nonblack pixels; generation 1
20-Countdown-800x369-dpi96-p2-Consolas-font.bmp: 68041 nonblack pixels; generation 1
21-Countdown-800x369-dpi96-p2-MingLiu-font.bmp: 68041 nonblack pixels; generation 1
22-JapanTravel-800x369-dpi96-p0-SevenSegment-palette.bmp: 115750 nonblack pixels; generation 1
23-JapanTravel-800x369-dpi96-p1-SevenSegment-palette.bmp: 115750 nonblack pixels; generation 1
24-JapanTravel-800x369-dpi96-p2-SevenSegment-palette.bmp: 115750 nonblack pixels; generation 1
25-JapanTravel-800x369-dpi96-p3-SevenSegment-palette.bmp: 115750 nonblack pixels; generation 1
26-JapanTravel-1920x1080-dpi96-p2-SevenSegment-size.bmp: 988730 nonblack pixels; generation 1
27-JapanTravel-3840x2160-dpi144-p2-SevenSegment-size.bmp: 3958919 nonblack pixels; generation 1
28-JapanTravel-1080x1920-dpi192-p2-SevenSegment-size.bmp: 575276 nonblack pixels; generation 1
29-JapanTravel-320x180-dpi144-p2-SevenSegment-size.bmp: 27777 nonblack pixels; generation 1
30-JapanTravel-120x80-dpi288-p2-SevenSegment-size.bmp: 5564 nonblack pixels; generation 1
31-JapanTravel-800x369-dpi96-p2-Consolas-font.bmp: 115750 nonblack pixels; generation 1
32-JapanTravel-800x369-dpi96-p2-MingLiu-font.bmp: 115750 nonblack pixels; generation 1
33-Countdown-800x369-dpi96-p2-SevenSegment-last-ten.bmp: 68018 nonblack pixels; generation 1
34-Countdown-800x369-dpi96-p2-SevenSegment-dim.bmp: 68017 nonblack pixels; generation 1
35-Countdown-800x369-dpi96-p2-SevenSegment-complete.bmp: 68017 nonblack pixels; generation 1
36-JapanTravel-800x450-dpi96-p2-SevenSegment-train-journey.bmp: 173165 nonblack pixels; generation 1
37-JapanTravel-1920x1080-dpi96-p2-SevenSegment-travel-checking.bmp: 986832 nonblack pixels; generation 1
38-JapanTravel-1920x1080-dpi96-p2-SevenSegment-travel-playing.bmp: 986492 nonblack pixels; generation 1
39-JapanTravel-1920x1080-dpi96-p2-SevenSegment-travel-unavailable.bmp: 989264 nonblack pixels; generation 1
test render::tests::export_visual_fixtures ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 31 filtered out; finished in 13.13s

PNG fixtures: <REPOSITORY>\docs\evidence\phase11\fixtures
Uncompressed GDI output: <REPOSITORY>\target\phase2-fixtures-a093e9bd2f704cd5928484738a35bf7b
