    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.13s
     Running unittests src\lib.rs (target\x86_64-pc-windows-msvc\debug\deps\tools_screensaver_tzk-70256254fe6efcd6.exe)

running 1 test
00-TimeDate-800x369-dpi96-p0-SevenSegment-palette.bmp: 4191 nonblack pixels; generation 1
01-TimeDate-800x369-dpi96-p1-SevenSegment-palette.bmp: 4191 nonblack pixels; generation 1
02-TimeDate-800x369-dpi96-p2-SevenSegment-palette.bmp: 4191 nonblack pixels; generation 1
03-TimeDate-800x369-dpi96-p3-SevenSegment-palette.bmp: 4191 nonblack pixels; generation 1
04-TimeDate-1920x1080-dpi96-p2-SevenSegment-size.bmp: 29771 nonblack pixels; generation 1
05-TimeDate-3840x2160-dpi144-p2-SevenSegment-size.bmp: 114112 nonblack pixels; generation 1
06-TimeDate-1080x1920-dpi192-p2-SevenSegment-size.bmp: 24555 nonblack pixels; generation 1
07-TimeDate-320x180-dpi144-p2-SevenSegment-size.bmp: 2061 nonblack pixels; generation 1
08-TimeDate-120x80-dpi288-p2-SevenSegment-size.bmp: 300 nonblack pixels; generation 1
09-TimeDate-800x369-dpi96-p2-Consolas-font.bmp: 3891 nonblack pixels; generation 1
10-TimeDate-800x369-dpi96-p2-MingLiu-font.bmp: 3270 nonblack pixels; generation 1
11-Countdown-800x369-dpi96-p0-SevenSegment-palette.bmp: 68041 nonblack pixels; generation 1
12-Countdown-800x369-dpi96-p1-SevenSegment-palette.bmp: 68041 nonblack pixels; generation 1
13-Countdown-800x369-dpi96-p2-SevenSegment-palette.bmp: 68041 nonblack pixels; generation 1
14-Countdown-800x369-dpi96-p3-SevenSegment-palette.bmp: 68041 nonblack pixels; generation 1
15-Countdown-1920x1080-dpi96-p2-SevenSegment-size.bmp: 415143 nonblack pixels; generation 1
16-Countdown-3840x2160-dpi144-p2-SevenSegment-size.bmp: 1665695 nonblack pixels; generation 1
17-Countdown-1080x1920-dpi192-p2-SevenSegment-size.bmp: 138908 nonblack pixels; generation 1
18-Countdown-320x180-dpi144-p2-SevenSegment-size.bmp: 21305 nonblack pixels; generation 1
19-Countdown-120x80-dpi288-p2-SevenSegment-size.bmp: 2884 nonblack pixels; generation 1
20-Countdown-800x369-dpi96-p2-Consolas-font.bmp: 68041 nonblack pixels; generation 1
21-Countdown-800x369-dpi96-p2-MingLiu-font.bmp: 68041 nonblack pixels; generation 1
22-JapanTravel-800x369-dpi96-p0-SevenSegment-palette.bmp: 110376 nonblack pixels; generation 1
23-JapanTravel-800x369-dpi96-p1-SevenSegment-palette.bmp: 110376 nonblack pixels; generation 1
24-JapanTravel-800x369-dpi96-p2-SevenSegment-palette.bmp: 110376 nonblack pixels; generation 1
25-JapanTravel-800x369-dpi96-p3-SevenSegment-palette.bmp: 110376 nonblack pixels; generation 1
26-JapanTravel-1920x1080-dpi96-p2-SevenSegment-size.bmp: 937660 nonblack pixels; generation 1
27-JapanTravel-3840x2160-dpi144-p2-SevenSegment-size.bmp: 3750457 nonblack pixels; generation 1
28-JapanTravel-1080x1920-dpi192-p2-SevenSegment-size.bmp: 592427 nonblack pixels; generation 1
29-JapanTravel-320x180-dpi144-p2-SevenSegment-size.bmp: 26440 nonblack pixels; generation 1
30-JapanTravel-120x80-dpi288-p2-SevenSegment-size.bmp: 5356 nonblack pixels; generation 1
31-JapanTravel-800x369-dpi96-p2-Consolas-font.bmp: 110376 nonblack pixels; generation 1
32-JapanTravel-800x369-dpi96-p2-MingLiu-font.bmp: 110376 nonblack pixels; generation 1
33-Countdown-800x369-dpi96-p2-SevenSegment-last-ten.bmp: 68018 nonblack pixels; generation 1
34-Countdown-800x369-dpi96-p2-SevenSegment-dim.bmp: 68017 nonblack pixels; generation 1
35-Countdown-800x369-dpi96-p2-SevenSegment-complete.bmp: 68017 nonblack pixels; generation 1
36-JapanTravel-800x450-dpi96-p2-SevenSegment-train-journey.bmp: 159088 nonblack pixels; generation 1
37-JapanTravel-1920x1080-dpi96-p2-SevenSegment-travel-checking.bmp: 935762 nonblack pixels; generation 1
38-JapanTravel-1920x1080-dpi96-p2-SevenSegment-travel-playing.bmp: 935422 nonblack pixels; generation 1
39-JapanTravel-1920x1080-dpi96-p2-SevenSegment-travel-unavailable.bmp: 938194 nonblack pixels; generation 1
test render::tests::export_visual_fixtures ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 38 filtered out; finished in 10.67s

PNG fixtures: <REPOSITORY>\docs\evidence\phase12\fixtures
Uncompressed GDI output: <REPOSITORY>\target\phase2-fixtures-85fcfac78b9c47d9b332b7a9ab7fb91b
