elapsed_seconds,mode,pid,cpu_seconds,whole_machine_cpu_percent,working_set_bytes,private_bytes,gdi_objects,user_objects,logical_processors
0.043,time-date,14896,0.093750,0.0000,10813440,1871872,26,15,8
0.043,countdown,32344,0.093750,0.0000,10649600,2002944,19,11,8
60.006,time-date,14896,0.250000,0.0326,10817536,1851392,26,14,8
60.006,countdown,32344,0.312500,0.0456,10813440,1859584,29,14,8
120.098,time-date,14896,0.421875,0.0358,10817536,1851392,26,14,8
120.098,countdown,32344,0.343750,0.0065,10813440,1859584,29,14,8
180.029,time-date,14896,0.750000,0.0684,10788864,1794048,26,14,8
180.029,countdown,32344,0.562500,0.0456,10784768,1802240,29,14,8
240.090,time-date,14896,0.859375,0.0228,10788864,1794048,26,14,8
240.090,countdown,32344,0.578125,0.0033,10784768,1802240,29,14,8
300.053,time-date,14896,1.500000,0.1335,10821632,1826816,26,14,8
300.053,countdown,32344,1.078125,0.1042,10817536,1830912,30,14,8
360.078,time-date,14896,2.156250,0.1367,10821632,1826816,27,14,8
360.078,countdown,32344,1.218750,0.0293,10817536,1830912,30,14,8
420.052,time-date,14896,2.437500,0.0586,10801152,1794048,26,14,8
420.052,countdown,32344,1.328125,0.0228,10801152,1802240,30,14,8
480.005,time-date,14896,2.500000,0.0130,10801152,1794048,26,14,8
480.005,countdown,32344,1.343750,0.0033,10801152,1802240,30,14,8
540.029,time-date,14896,2.921875,0.0879,10801152,1794048,26,14,8
540.029,countdown,32344,1.453125,0.0228,10801152,1802240,30,14,8
600.033,time-date,14896,3.375000,0.0944,10821632,1818624,26,14,8
600.033,countdown,32344,1.500000,0.0098,10821632,1826816,30,14,8
