elapsed_seconds,mode,pid,cpu_seconds,working_set_bytes,private_bytes,gdi_objects,user_objects,handle_count,resize_font_cycle
0.011,TimeDate,11872,0.125,7667712,1478656,21,6,132,0
60.041,TimeDate,11872,0.234375,7634944,1458176,18,6,132,1
300.159,TimeDate,11872,0.375,7876608,1568768,21,6,132,9
600.067,TimeDate,11872,0.640625,7860224,1560576,18,6,132,19
900.167,TimeDate,11872,0.953125,7856128,1536000,22,6,132,29
1200.186,TimeDate,11872,1.21875,7868416,1536000,21,6,132,39
1500.128,TimeDate,11872,1.6875,7872512,1536000,18,6,132,49
1800.133,TimeDate,11872,2.0625,7880704,1536000,22,6,132,59
0,Countdown,30868,0.0625,7651328,1597440,23,6,132,0
60.058,Countdown,30868,0.078125,7622656,1503232,23,6,132,1
300.029,Countdown,30868,0.265625,7737344,1409024,23,6,132,9
600.099,Countdown,30868,0.65625,7753728,1404928,23,6,132,19
900.135,Countdown,30868,1.1875,7749632,1376256,23,6,132,29
1200.157,Countdown,30868,1.46875,7757824,1376256,24,6,132,39
1500.038,Countdown,30868,1.890625,7737344,1376256,23,6,132,49
1800.004,Countdown,30868,2.265625,7741440,1376256,23,6,132,59
